Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
1,2023-02-03,32.9,3.127,210.015,7.92,0
1,2023-02-10,29.2,3.206,210.609,7.871,1
1,2023-02-17,34.5,3.156,210.11,7.964,0
1,2023-02-24,34.1,3.295,210.498,7.902,0
1,2023-03-03,31.9,3.321,210.253,7.8,0
1,2023-03-10,31.1,3.249,210.51,7.932,0
1,2023-03-17,38.1,3.29,210.458,7.97,0
1,2023-03-24,36.8,3.349,210.262,7.861,0
1,2023-03-31,38.5,3.28,210.657,7.84,0
1,2023-04-07,41.7,3.375,210.694,7.944,0
1,2023-04-14,43.6,3.339,210.587,7.699,0
1,2023-04-21,41.9,3.302,210.361,7.897,0
1,2023-04-28,45.9,3.354,211.1,7.812,0
1,2023-05-05,53.2,3.329,210.699,7.742,0
1,2023-05-12,52.4,3.419,210.292,7.871,0
1,2023-05-19,56.5,3.346,210.427,7.825,0
1,2023-05-26,56.5,3.384,210.917,7.967,0
1,2023-06-02,59.6,3.316,211.014,7.819,0
1,2023-06-09,66.4,3.401,211.117,7.934,0
1,2023-06-16,60.7,3.318,210.782,7.738,0
1,2023-06-23,61.8,3.371,211.044,7.62,0
1,2023-06-30,64.4,3.343,211.412,7.957,0
1,2023-07-07,77.4,3.334,210.914,7.534,0
1,2023-07-14,70.5,3.259,211.136,7.676,0
1,2023-07-21,70.0,3.337,211.358,7.711,0
1,2023-07-28,67.7,3.184,211.215,7.712,0
1,2023-08-04,76.3,3.259,211.705,7.657,0
1,2023-08-11,67.3,3.188,211.243,7.91,0
1,2023-08-18,68.0,3.262,211.24,7.78,0
1,2023-08-25,70.9,3.197,211.548,7.612,0
1,2023-09-01,70.0,3.168,211.243,7.54,0
1,2023-09-08,68.0,3.256,211.708,7.645,1
1,2023-09-15,66.8,3.23,211.776,7.606,0
1,2023-09-22,67.6,3.175,212.221,7.656,0
1,2023-09-29,58.7,3.076,212.306,7.8,0
1,2023-10-06,59.8,3.118,212.299,7.507,0
1,2023-10-13,55.4,3.164,211.792,7.607,0
1,2023-10-20,55.3,3.145,212.383,7.606,0
1,2023-10-27,55.3,3.025,211.996,7.503,0
1,2023-11-03,47.3,3.084,211.96,7.669,0
1,2023-11-10,44.6,3.133,211.965,7.535,0
1,2023-11-17,49.2,3.163,212.562,7.542,0
1,2023-11-24,41.8,3.133,212.283,7.565,1
1,2023-12-01,38.4,3.158,212.329,7.789,0
1,2023-12-08,45.3,3.122,212.224,7.381,0
1,2023-12-15,36.0,3.194,212.722,7.444,0
1,2023-12-22,34.1,3.085,212.362,7.401,0
1,2023-12-29,32.9,3.165,212.432,7.322,1
1,2024-01-05,28.9,3.333,212.124,7.378,0
