Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2023-02-03,62021.61,0
1,1,2023-02-10,69932.46,1
1,1,2023-02-17,57205.03,0
1,1,2023-02-24,53876.62,0
1,1,2023-03-03,57090.47,0
1,1,2023-03-10,60110.8,0
1,1,2023-03-17,63413.89,0
1,1,2023-03-24,63624.04,0
1,1,2023-03-31,55229.85,0
1,1,2023-04-07,65888.69,0
1,1,2023-04-14,61094.72,0
1,1,2023-04-21,56976.96,0
1,1,2023-04-28,68736.64,0
1,1,2023-05-05,69523.55,0
1,1,2023-05-12,63594.83,0
1,1,2023-05-19,65755.11,0
1,1,2023-05-26,65888.61,0
1,1,2023-06-02,68740.51,0
1,1,2023-06-09,65089.1,0
1,1,2023-06-16,54606.19,0
1,1,2023-06-23,70354.34,0
1,1,2023-06-30,65176.17,0
1,1,2023-07-07,57022.21,0
1,1,2023-07-14,53944.27,0
1,1,2023-07-21,60436.52,0
1,1,2023-07-28,56091.52,0
1,1,2023-08-04,58127.46,0
1,1,2023-08-11,59217.95,0
1,1,2023-08-18,52665.03,0
1,1,2023-08-25,49594.95,0
1,1,2023-09-01,55443.02,0
1,1,2023-09-08,58686.48,1
1,1,2023-09-15,46927.11,0
1,1,2023-09-22,51016.08,0
1,1,2023-09-29,54581.94,0
1,1,2023-10-06,53758.0,0
1,1,2023-10-13,47787.23,0
1,1,2023-10-20,46078.05,0
1,1,2023-10-27,50814.29,0
1,1,2023-11-03,53050.6,0
1,1,2023-11-10,52544.02,0
1,1,2023-11-17,49023.06,0
1,1,2023-11-24,69698.59,1
1,1,2023-12-01,52708.22,0
1,1,2023-12-08,45524.13,0
1,1,2023-12-15,53820.41,0
1,1,2023-12-22,62400.5,0
1,1,2023-12-29,57641.54,1
1,1,2024-01-05,54173.59,0
1,1,2024-01-12,56452.72,0
1,1,2024-01-19,57796.33,0
1,1,2024-01-26,63101.42,0
1,1,2024-02-02,59156.68,0
1,1,2024-02-09,72519.67,1
1,1,2024-02-16,58915.92,0
1,1,2024-02-23,58221.03,0
1,1,2024-03-01,53312.16,0
1,1,2024-03-08,64594.58,0
1,1,2024-03-15,74473.87,0
1,1,2024-03-22,67029.95,0
1,1,2024-03-29,68866.11,0
1,1,2024-04-05,63640.79,0
1,1,2024-04-12,64965.09,0
1,1,2024-04-19,71855.21,0
1,1,2024-04-26,77599.11,0
1,1,2024-05-03,74974.89,0
1,1,2024-05-10,71357.31,0
1,1,2024-05-17,67161.85,0
1,1,2024-05-24,67926.69,0
1,1,2024-05-31,62528.06,0
1,1,2024-06-07,58511.05,0
1,1,2024-06-14,59803.79,0
1,1,2024-06-21,65458.88,0
1,1,2024-06-28,63088.59,0
1,1,2024-07-05,56418.15,0
1,1,2024-07-12,63030.19,0
1,1,2024-07-19,60872.9,0
1,1,2024-07-26,55894.15,0
1,1,2024-08-02,59080.86,0
1,1,2024-08-09,58541.1,0
1,1,2024-08-16,56369.22,0
1,1,2024-08-23,62866.87,0
1,1,2024-08-30,48998.78,0
1,1,2024-09-06,55852.82,1
1,1,2024-09-13,56925.03,0
1,1,2024-09-20,57744.96,0
1,1,2024-09-27,53069.26,0
1,1,2024-10-04,51028.17,0
1,1,2024-10-11,54746.41,0
1,1,2024-10-18,52656.43,0
1,1,2024-10-25,61257.44,0
1,1,2024-11-01,53099.19,0
1,1,2024-11-08,54406.91,0
1,1,2024-11-15,65740.46,0
1,1,2024-11-22,54353.71,0
1,1,2024-11-29,74664.53,1
1,1,2024-12-06,59485.7,0
1,1,2024-12-13,58145.24,0
1,1,2024-12-20,58436.51,0
1,1,2024-12-27,77325.02,1
1,1,2025-01-03,60728.33,0
1,1,2025-01-10,69846.28,0
1,1,2025-01-17,66953.46,0
1,1,2025-01-24,63525.55,0
1,2,2023-02-03,36237.29,0
1,2,2023-02-10,32061.44,1
1,2,2023-02-17,34264.57,0
1,2,2023-02-24,38210.75,0
1,2,2023-03-03,40307.01,0
1,2,2023-03-10,34248.0,0
1,2,2023-03-17,35514.32,0
1,2,2023-03-24,43867.53,0
1,2,2023-03-31,38002.23,0
1,2,2023-04-07,43572.12,0
1,2,2023-04-14,38919.98,0
1,2,2023-04-21,39249.67,0
1,2,2023-04-28,37694.29,0
1,2,2023-05-05,41645.86,0
1,2,2023-05-12,42961.83,0
1,2,2023-05-19,35512.88,0
1,2,2023-05-26,37536.79,0
1,2,2023-06-02,41292.28,0
1,2,2023-06-09,37874.15,0
1,2,2023-06-16,36514.47,0
1,2,2023-06-23,40758.23,0
1,2,2023-06-30,40667.05,0
1,2,2023-07-07,35657.68,0
1,2,2023-07-14,37199.72,0
1,2,2023-07-21,32650.77,0
1,2,2023-07-28,33138.81,0
1,2,2023-08-04,35587.95,0
1,2,2023-08-11,34865.75,0
1,2,2023-08-18,31669.77,0
1,2,2023-08-25,31943.75,0
1,2,2023-09-01,30613.63,0
1,2,2023-09-08,40445.15,1
1,2,2023-09-15,30067.34,0
1,2,2023-09-22,27568.65,0
1,2,2023-09-29,33201.56,0
1,2,2023-10-06,27301.94,0
1,2,2023-10-13,31816.37,0
1,2,2023-10-20,35774.86,0
1,2,2023-10-27,35805.45,0
1,2,2023-11-03,27027.28,0
1,2,2023-11-10,32423.58,0
1,2,2023-11-17,29289.98,0
1,2,2023-11-24,58807.39,1
1,2,2023-12-01,35437.31,0
1,2,2023-12-08,34146.28,0
1,2,2023-12-15,31067.32,0
1,2,2023-12-22,35252.55,0
1,2,2023-12-29,49589.72,1
1,2,2024-01-05,32066.9,0
1,2,2024-01-12,35077.16,0
1,2,2024-01-19,34837.25,0
1,2,2024-01-26,35574.43,0
1,2,2024-02-02,36049.59,0
1,2,2024-02-09,37207.64,1
1,2,2024-02-16,39344.93,0
1,2,2024-02-23,38732.74,0
1,2,2024-03-01,37931.38,0
1,2,2024-03-08,40588.47,0
1,2,2024-03-15,42429.79,0
1,2,2024-03-22,38443.01,0
1,2,2024-03-29,40425.43,0
1,2,2024-04-05,44758.44,0
1,2,2024-04-12,37591.38,0
1,2,2024-04-19,47428.91,0
1,2,2024-04-26,37142.49,0
1,2,2024-05-03,40536.78,0
1,2,2024-05-10,38542.15,0
1,2,2024-05-17,48966.51,0
1,2,2024-05-24,39894.22,0
1,2,2024-05-31,39743.22,0
1,2,2024-06-07,39956.1,0
1,2,2024-06-14,41210.74,0
1,2,2024-06-21,39502.4,0
1,2,2024-06-28,39766.73,0
1,2,2024-07-05,28549.44,0
1,2,2024-07-12,39516.11,0
1,2,2024-07-19,38921.94,0
1,2,2024-07-26,41568.46,0
1,2,2024-08-02,41850.64,0
1,2,2024-08-09,36824.09,0
1,2,2024-08-16,39303.34,0
1,2,2024-08-23,33208.1,0
1,2,2024-08-30,38170.49,0
1,2,2024-09-06,38495.04,1
1,2,2024-09-13,34627.84,0
1,2,2024-09-20,38704.15,0
1,2,2024-09-27,35008.53,0
1,2,2024-10-04,38369.68,0
1,2,2024-10-11,32042.77,0
1,2,2024-10-18,36810.94,0
1,2,2024-10-25,32139.13,0
1,2,2024-11-01,34530.74,0
1,2,2024-11-08,34587.18,0
1,2,2024-11-15,35950.46,0
1,2,2024-11-22,35044.51,0
1,2,2024-11-29,64697.33,1
1,2,2024-12-06,39811.42,0
1,2,2024-12-13,33708.87,0
1,2,2024-12-20,30548.38,0
1,2,2024-12-27,60015.27,1
1,2,2025-01-03,36441.22,0
1,2,2025-01-10,39055.28,0
1,2,2025-01-17,36594.52,0
1,2,2025-01-24,37758.81,0
1,3,2023-02-03,26434.25,0
1,3,2023-02-10,30257.01,1
1,3,2023-02-17,27561.33,0
1,3,2023-02-24,25147.95,0
1,3,2023-03-03,25594.83,0
1,3,2023-03-10,28997.1,0
1,3,2023-03-17,26404.36,0
1,3,2023-03-24,25678.34,0
1,3,2023-03-31,31137.22,0
1,3,2023-04-07,31513.16,0
1,3,2023-04-14,29196.22,0
1,3,2023-04-21,30953.9,0
1,3,2023-04-28,30815.78,0
1,3,2023-05-05,31893.79,0
1,3,2023-05-12,31921.45,0
1,3,2023-05-19,24080.07,0
1,3,2023-05-26,29765.0,0
1,3,2023-06-02,31483.38,0
1,3,2023-06-09,29082.51,0
1,3,2023-06-16,29955.39,0
1,3,2023-06-23,31410.74,0
1,3,2023-06-30,29550.9,0
1,3,2023-07-07,32568.02,0
1,3,2023-07-14,31331.25,0
1,3,2023-07-21,28130.44,0
1,3,2023-07-28,27602.5,0
1,3,2023-08-04,21373.6,0
1,3,2023-08-11,26612.1,0
1,3,2023-08-18,24049.72,0
1,3,2023-08-25,27094.8,0
1,3,2023-09-01,26615.47,0
1,3,2023-09-08,31710.72,1
1,3,2023-09-15,25650.49,0
1,3,2023-09-22,30098.53,0
1,3,2023-09-29,25710.21,0
1,3,2023-10-06,22439.18,0
1,3,2023-10-13,23814.05,0
1,3,2023-10-20,24108.51,0
1,3,2023-10-27,25986.57,0
1,3,2023-11-03,22940.79,0
1,3,2023-11-10,24288.54,0
1,3,2023-11-17,24668.81,0
1,3,2023-11-24,41381.43,1
1,3,2023-12-01,26653.11,0
1,3,2023-12-08,27990.3,0
1,3,2023-12-15,25205.66,0
1,3,2023-12-22,28741.96,0
1,3,2023-12-29,38855.48,1
1,3,2024-01-05,24354.05,0
1,3,2024-01-12,27409.2,0
1,3,2024-01-19,30499.96,0
1,3,2024-01-26,26909.43,0
1,3,2024-02-02,27630.72,0
